,LifeExpectancy,Country,CO2Emissions
0,51.593,Central African Republic,543229
1,52.059,Lesotho,318438
2,53.438,Chad,1670941
3,53.444,Sierra Leone,1272332
4,53.541,Nigeria,82634214
5,56.324,Somalia,1268442
6,56.567,Cote d'Ivoire,10056492
7,56.962,Eswatini,657572
8,57.12,South Sudan,4038496
9,57.328,Guinea-Bissau,318706
10,57.713,Equatorial Guinea,2156371
11,57.987,Mali,1606421
12,58.063,Cameroon,9454331
13,58.309,Mozambique,5859171
14,59.925,Angola,30566933
15,60.17,Guinea,2071798
16,60.22,Togo,2321546
17,60.294,Zimbabwe,10062628
18,60.354,Burkina Faso,2352070
19,60.528,Burundi,1093618
20,60.885,Benin,6563709
21,61.137,Niger,2088475
22,61.166,Gambia,254127
23,61.986,Uganda,5009493
24,62.464,Zambia,4230584
25,62.625,Namibia,3901830
26,62.681,Malawi,1815598
27,62.802,Liberia,846658
28,62.896,Haiti,3086897
29,63.124,Ghana,14469986
30,63.153,South Africa,390557850
31,63.556,Congo,5212302
32,63.7,Comoros,108422
33,63.744,Papua New Guinea,9086988
34,63.763,Afghanistan,9900004
35,63.844,Tanzania,9731560
36,64.208,Mauritania,2564345
37,64.663,Sudan,13294106
38,65.064,Djibouti,1508851
39,65.111,Eritrea,684140
40,65.393,Kenya,16334919
41,65.418,Gabon,5694208
42,65.482,Ethiopia,10438855
43,65.931,Madagascar,3026047
44,66.087,Yemen,25647990
45,66.205,Myanmar,16701776
46,66.77,Pakistan,178013820
47,66.924,Laos,4531276
48,67.078,Senegal,8247295
49,67.175,Fiji,1703193
50,67.577,Kiribati,52818
51,67.835,Turkmenistan,79279216
52,67.93,Rwanda,1403087
53,68.178,Botswana,6438429
54,68.735,Timor-Leste,495687
55,68.897,India,2533638100
56,68.977,Cambodia,6496958
57,69.321,Mongolia,18574260
58,69.454,Guyana,3253057
59,69.496,Western Sahara,207592
60,69.67,Sao Tome & Principe,56185
61,69.848,Nepal,7833787
62,70.021,Vanuatu,137706
63,70.122,Iraq,162646160
64,70.315,Syria,38054696
65,70.397,Tajikistan,6049757
66,70.607,Tonga,251375
67,70.626,Bolivia,19463728
68,70.781,Bhutan,1682100
69,70.802,Philippines,126922662
70,71.035,Indonesia,530035650
71,71.054,Kyrgyzstan,6941784
72,71.171,Uzbekistan,109347340
73,71.358,Suriname,2152933
74,71.482,Egypt,219377350
75,71.493,Greenland,1530
76,71.617,Moldova,8258774
77,71.711,North Korea,58708734
78,71.711,Ukraine,233220080
79,71.785,Bangladesh,74476230
80,71.835,Russia,1661899300
81,72.081,Kazakhstan,231919540
82,72.193,Saint Vincent and the Grenadines,362414
83,72.311,Libya,52696075
84,72.347,Cape Verde,99687
85,72.405,Venezuela,175884256
86,72.408,Grenada,554848
87,72.424,Solomon Islands,341748
88,72.493,Azerbaijan,33614235
89,72.644,El Salvador,6853766
90,72.895,Samoa,169939
91,73.089,Palau,41732
92,73.1,Trinidad and Tobago,34974263
93,73.207,Georgia,8610414
94,73.226,Seychelles,519693
95,73.329,Bahamas,4404247
96,73.471,Dominican Republic,23466740
97,73.541,Guatemala,18539316
98,73.836,Paraguay,5998469
99,73.86,Nicaragua,5325447
100,74.031,Belarus,62655669
101,74.175,Jamaica,8946575
102,74.184,Jordan,22772370
103,74.219,Belize,1114105
104,74.384,Dominica,185767
105,74.626,Mauritius,3192307
106,74.64,Armenia,4597845
107,74.701,Honduras,9320279
108,74.703,Bulgaria,50872910
109,74.761,Saudi Arabia,517079407
110,74.91,Latvia,8157157
111,74.917,Mexico,441412750
112,75.172,Vietnam,206042140
113,75.224,Kuwait,101492225
114,75.23,Brazil,462994920
115,75.238,Lithuania,13685264
116,75.45,Brunei,7672127
117,75.498,North Macedonia,8896732
118,75.505,Serbia,41168059
119,75.631,Cook Islands,37354
120,75.644,Romania,78770824
121,75.649,Malaysia,266251542
122,75.73,Saint Kitts & Nevis,203036
123,75.752,Saint Lucia,608182
124,75.868,Aruba,286871
125,75.974,Morocco,57694464
126,76.044,Peru,57692879
127,76.047,Iran,642560030
128,76.115,Tunisia,29395965
129,76.21,China,10432751400
130,76.221,Argentina,200708270
131,76.266,Hungary,51018899
132,76.298,Algeria,156220560
133,76.365,Ecuador,40065690
134,76.403,Thailand,271040160
135,76.482,Sri Lanka,18454691
136,76.568,Montenegro,16249039
137,76.617,Antigua and Barbuda,438763
138,76.732,Colombia,77667594
139,76.86,Turkey,368122740
140,76.899,Bahrain,24458384
141,76.998,Bosnia and Herzegovina,25674120
142,77.014,New Caledonia,2338717
143,77.024,French Polynesia,1003249
144,77.034,Slovakia,36817242
145,77.142,Oman,87835773
146,77.47,United Arab Emirates,218788684
147,77.498,Uruguay,6508013
148,77.964,Panama,11599764
149,78.013,Maldives,1233015
150,78.049,Croatia,19408194
151,78.097,Estonia,22402414
152,78.11,Poland,296659670
153,78.194,Albania,5208319
154,78.576,British Virgin Islands,99762
155,78.607,Cuba,30389116
156,78.8,Lebanon,21863288
157,78.881,Czech Republic (Czechia),111825428
158,78.885,United States,5011686600
159,78.888,Barbados,1541447
160,79.485,Gibraltar,572708
161,79.642,French Guiana,1473719
162,79.664,Puerto Rico,712758
163,79.732,Turks and Caicos,65451
164,79.738,Costa Rica,8328890
165,79.779,Chile,81258525
166,79.868,Qatar,98990085
167,79.899,Reunion,1132331
168,79.927,Taiwan,276724868
169,80.251,Saint Helena,13128
170,80.255,Faeroe Islands,1953
171,80.513,Cyprus,6872427
172,80.583,Denmark,38007645
173,80.654,Saint Pierre & Miquelon,8842
174,80.852,Slovenia,14722601
175,80.902,Germany,775752190
176,81.021,Falkland Islands,48568
177,81.111,United Kingdom,367860350
178,81.139,Belgium,94722813
179,81.258,Austria,73764112
180,81.382,Finland,51183960
181,81.441,Anguilla,30262
182,81.444,Portugal,50142844
183,81.469,Guadeloupe,2478038
184,81.615,Ireland,39086565
185,81.727,Greece,67840662
186,81.803,Luxembourg,10144632
187,81.859,New Zealand,33276202
188,81.862,Netherlands,163419285
189,81.962,Martinique,2715477
190,82.029,Norway,43456012
191,82.063,Malta,2257870
192,82.117,Canada,675918610
193,82.163,Bermuda,639352
194,82.328,France,331533320
195,82.379,South Korea,604043830
196,82.382,Sweden,44694415
197,82.503,Israel,65201588
198,82.601,Iceland,3923884
199,82.959,Australia,414988700
200,83.008,Italy,358139550
201,83.083,Singapore,48381759
202,83.145,Spain,251892320
203,83.31,Switzerland,39666930
204,83.48,Cayman Islands,406057
205,83.854,Macao,3106518
206,84.09,Japan,1239592060
207,84.277,Hong Kong,47066386
